systematic_name,bp,mf
YLR259C,protein folding*,single-stranded DNA binding
YOR128C,'de novo' IMP biosynthesis*,phosphoribosylaminoimidazole carboxylase activity
YOR017W,RNA processing,molecular function unknown
YML064C,signal transduction*,protein binding*
YBR021W,uracil transport,uracil permease activity
YJR133W,purine nucleotide biosynthesis,xanthine phosphoribosyltransferase activity
YHR076W,biological process unknown,protein phosphatase type 2C activity
YLR314C,cell wall organization and biogenesis*,structural constituent of cytoskeleton*
YMR038C,intracellular copper ion transport,superoxide dismutase copper chaperone activity
YJL028W,NA,NA
YLR374C,NA,NA
YAL023C,protein amino acid O-linked glycosylation,dolichyl-phosphate-mannose-protein mannosyltransferase activity
YGR004W,peroxisome organization and biogenesis,molecular function unknown
YJR116W,biological process unknown,molecular function unknown
YLR244C,proteolysis and peptidolysis,methionyl aminopeptidase activity
YDL187C,NA,NA
YPL169C,mRNA-nucleus export,protein binding*
YCR048W,sterol metabolism,sterol O-acyltransferase activity
YGR096W,transport,transporter activity
YHR042W,ergosterol biosynthesis,electron transporter activity
YCL043C,protein folding,protein disulfide isomerase activity
YIL067C,biological process unknown,molecular function unknown
YMR214W,protein folding*,chaperone binding
YNL187W,transport,molecular function unknown
YML016C,sodium ion homeostasis,protein serine/threonine phosphatase activity
YDR174W,plasmid maintenance,single-stranded DNA binding*
YNL080C,biological process unknown,molecular function unknown
YBL085W,establishment of cell polarity (sensu Fungi)*,phospholipid binding
YPR029C,vesicle-mediated transport,clathrin binding
YGR237C,biological process unknown,molecular function unknown
YFL044C,regulation of transcription,molecular function unknown
YCR037C,phosphate transport,inorganic phosphate transporter activity
YNL057W,NA,NA
YMR192W,ER to Golgi transport*,protein binding
YPR088C,protein-ER targeting*,GTPase activity*
YGL211W,biological process unknown,molecular function unknown
YDL080C,thiamin biosynthesis,transcriptional activator activity*
YDR123C,positive regulation of transcription from RNA polymerase II promoter*,specific RNA polymerase II transcription factor activity
YNL004W,poly(A)+ mRNA-nucleus export,RNA binding
YJL088W,arginine biosynthesis*,ornithine carbamoyltransferase activity
YBR115C,lysine biosynthesis via aminoadipic acid,L-aminoadipate-semialdehyde dehydrogenase activity
YDR127W,aromatic amino acid family biosynthesis,3-dehydroquinate dehydratase activity*
YBR218C,gluconeogenesis*,pyruvate carboxylase activity
YMR139W,protein amino acid phosphorylation*,protein serine/threonine kinase activity*
YOR153W,response to drug*,xenobiotic-transporting ATPase activity
YOR116C,transcription from RNA polymerase III promoter,DNA-directed RNA polymerase activity
YLR355C,mitochondrial genome maintenance*,ketol-acid reductoisomerase activity
YFR025C,histidine biosynthesis,histidinol-phosphatase activity
YJL198W,phosphate transport,phosphate transporter activity
YER060W-A,biological process unknown,cytosine-purine permease activity
YDR399W,purine nucleotide biosynthesis,hypoxanthine phosphoribosyltransferase activity
YHR120W,DNA repair,ATP binding
YDR041W,protein biosynthesis,structural constituent of ribosome
YML008C,ergosterol biosynthesis,sterol 24-C-methyltransferase activity
YMR011W,hexose transport,glucose transporter activity*
YDR019C,one-carbon compound metabolism*,glycine dehydrogenase (decarboxylating) activity
YOR200W,NA,NA
YGR207C,biological process unknown,molecular function unknown
YGL087C,DNA repair*,ubiquitin conjugating enzyme activity
YNL292W,tRNA modification,pseudouridylate synthase activity
YKL180W,protein biosynthesis,structural constituent of ribosome
YKL207W,biological process unknown,molecular function unknown
YCR072C,biological process unknown,molecular function unknown
YPR175W,nucleotide-excision repair*,epsilon DNA polymerase activity
YDL036C,biological process unknown,molecular function unknown
YPR053C,NA,NA
YMR122C,NA,NA
YDL182W,lysine biosynthesis via aminoadipic acid,homocitrate synthase activity
YDR541C,biological process unknown,dihydrokaempferol 4-reductase activity
YDR177W,endocytosis*,ubiquitin conjugating enzyme activity
YGR234W,response to stress,nitric oxide reductase activity
YOR071C,transport,transporter activity
YDR511W,gluconeogenesis*,molecular function unknown
YOR020C,protein folding,unfolded protein binding
YFR007W,biological process unknown,molecular function unknown
YKL186C,poly(A)+ mRNA-nucleus export,protein binding
YDL031W,35S primary transcript processing*,ATP-dependent RNA helicase activity
YDR079W,aerobic respiration*,unfolded protein binding
YHR193C,nascent polypeptide association,unfolded protein binding
YDL025C,biological process unknown,protein kinase activity
YPR008W,transcription initiation from RNA polymerase II promoter,specific RNA polymerase II transcription factor activity
YPR083W,mitochondrion organization and biogenesis,molecular function unknown
YNL083W,transport,transporter activity*
YLR057W,biological process unknown,molecular function unknown
YOR343C,NA,NA
YBR262C,biological process unknown,molecular function unknown
YOL071W,sporulation (sensu Fungi),molecular function unknown
YDL130W-A,ATP synthesis coupled proton transport,molecular function unknown
YGR132C,protein folding*,molecular function unknown
YJL131C,biological process unknown,molecular function unknown
YHR015W,mRNA-nucleus export,RNA binding
YIR024C,biological process unknown,molecular function unknown
YDL107W,protein complex assembly*,protein translocase activity
YDR393W,mitochondrion organization and biogenesis*,molecular function unknown
YDR226W,nucleotide metabolism*,adenylate kinase activity
YBL098W,NAD biosynthesis,kynurenine 3-monooxygenase activity
YBR055C,"nuclear mRNA splicing, via spliceosome","RNA splicing factor activity, transesterification mechanism"
YFR036W,mitotic sister chromatid segregation*,protein binding*
YPR169W,protein monoubiquitination,molecular function unknown
YLR130C,low-affinity zinc ion transport,low-affinity zinc ion transporter activity
YDR239C,biological process unknown,molecular function unknown
YKR024C,35S primary transcript processing*,ATP-dependent RNA helicase activity
YKL168C,biological process unknown,protein kinase activity
YNR039C,zinc ion transport,molecular function unknown
YER091C,methionine biosynthesis,5-methyltetrahydropteroyltriglutamate-homocysteine S-methyltransferase activity
YKL166C,protein amino acid phosphorylation*,protein serine/threonine kinase activity*
YAR015W,'de novo' IMP biosynthesis*,phosphoribosylaminoimidazolesuccinocarboxamide synthase activity
YHR187W,regulation of transcription from RNA polymerase II promoter,RNA polymerase II transcription elongation factor activity
YFL001W,RNA processing,pseudouridylate synthase activity
YLR002C,rRNA processing*,protein binding*
YLR017W,glutamate biosynthesis*,S-methyl-5-thioadenosine phosphorylase activity
YOR050C,NA,NA
YGL256W,fermentation,"alcohol dehydrogenase activity, zinc-dependent"
YHR093W,NA,NA
YPR039W,NA,NA
YNL264C,response to drug*,phosphatidylinositol transporter activity
YBR025C,biological process unknown,molecular function unknown
YDL201W,tRNA methylation,protein binding*
YDR060W,ribosomal large subunit assembly and maintenance,molecular function unknown
YNL282W,rRNA processing*,ribonuclease P activity*
YLR195C,N-terminal peptidyl-glycine N-myristoylation,glycylpeptide N-tetradecanoyltransferase activity
YDR120C,tRNA methylation,tRNA (guanine-N2-)-methyltransferase activity
YJL200C,biological process unknown,aconitate hydratase activity
YLR052W,chromatin remodeling,molecular function unknown
YNR051C,protein deubiquitination,molecular function unknown
YLR071C,transcription from RNA polymerase II promoter,RNA polymerase II transcription mediator activity
YBL014C,transcription from RNA polymerase I promoter,RNA polymerase I transcription factor activity
YLL008W,35S primary transcript processing*,ATP-dependent RNA helicase activity
YML043C,transcription from RNA polymerase I promoter,RNA polymerase I transcription factor activity
YMR225C,protein biosynthesis,structural constituent of ribosome
YMR075C-A,NA,NA
YGL070C,transcription from RNA polymerase II promoter,DNA-directed RNA polymerase activity
YKL165C,GPI anchor biosynthesis*,molecular function unknown
YMR210W,biological process unknown,molecular function unknown
YJL181W,biological process unknown,molecular function unknown
YER036C,biological process unknown,"ATPase activity, coupled to transmembrane movement of substances"
YJL095W,protein amino acid phosphorylation*,MAP kinase kinase kinase activity
YDR233C,biological process unknown,molecular function unknown
YKR044W,biological process unknown,molecular function unknown
YCR063W,bud site selection*,molecular function unknown
YJL081C,regulation of transcription from RNA polymerase II promoter*,chromatin binding*
YOR236W,folic acid and derivative metabolism,dihydrofolate reductase activity
YPL094C,posttranslational protein-membrane targeting,protein binding*
YPR033C,histidyl-tRNA aminoacylation,histidine-tRNA ligase activity
YKL212W,exocytosis*,inositol or phosphatidylinositol phosphatase activity
YGR192C,glycolysis*,glyceraldehyde-3-phosphate dehydrogenase (phosphorylating) activity
YJR009C,glycolysis*,glyceraldehyde-3-phosphate dehydrogenase (phosphorylating) activity
YDR062W,sphingolipid biosynthesis,serine C-palmitoyltransferase activity
YMR308C,mRNA-nucleus export,protein carrier activity
YKL077W,biological process unknown,molecular function unknown
YJL002C,protein amino acid N-linked glycosylation*,dolichyl-diphosphooligosaccharide-protein glycotransferase activity
YLR088W,attachment of GPI anchor to protein,GPI-anchor transamidase activity
YDR518W,protein folding,protein disulfide isomerase activity
YOR175C,biological process unknown,O-acyltransferase activity
YOR149C,GPI anchor biosynthesis*,"alpha-1,2-mannosyltransferase activity"
YGR200C,regulation of transcription from RNA polymerase II promoter,RNA polymerase II transcription elongation factor activity
YLR409C,35S primary transcript processing,snoRNA binding
YMR078C,mitotic sister chromatid cohesion,molecular function unknown
YJR043C,nucleotide-excision repair*,delta DNA polymerase activity
YHR127W,biological process unknown,molecular function unknown
YPL255W,microtubule nucleation*,structural constituent of cytoskeleton
YLL002W,negative regulation of DNA transposition,molecular function unknown
YLL034C,ribosomal large subunit-nucleus export,ATPase activity*
YLR183C,G1/S-specific transcription in mitotic cell cycle,transcription factor activity
YGR109C,G1/S transition of mitotic cell cycle*,cyclin-dependent protein kinase regulator activity
YDR299W,ER to Golgi transport,molecular function unknown
YPL210C,protein-ER targeting*,signal sequence binding
YPR112C,35S primary transcript processing,snoRNA binding*
YBR106W,phosphate transport,phosphate transporter activity
YBR271W,biological process unknown,S-adenosylmethionine-dependent methyltransferase activity
YBR075W,NA,NA
YDR261C,cell wall organization and biogenesis,"glucan 1,3-beta-glucosidase activity"
YDL095W,protein amino acid O-linked glycosylation,dolichyl-phosphate-mannose-protein mannosyltransferase activity
YOR085W,protein complex assembly*,dolichyl-diphosphooligosaccharide-protein glycotransferase activity
YNR009W,biological process unknown,molecular function unknown
YAR002W,nucleocytoplasmic transport*,structural constituent of nuclear pore
YPL050C,protein amino acid N-linked glycosylation,mannosyltransferase activity
YPR137W,rRNA modification*,snoRNA binding
YPR190C,transcription from RNA polymerase III promoter,DNA-directed RNA polymerase activity
YBR205W,cell wall organization and biogenesis*,mannosyltransferase activity
YHR169W,35S primary transcript processing,ATP-dependent RNA helicase activity
YKL081W,translational elongation,translation elongation factor activity
YNL291C,calcium ion transport,calcium channel activity*
